@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-5,7-8,14-16,18-19'

@attribute PMI(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
0.906748,0.000274,0.001057,0.238276,0.081449,0,1,unimportant
-0.642584,0.00062,0.001071,0.317456,0.158733,0,1,unimportant
0.085187,0.003031,0.000557,0.431614,0.046233,0,1,important
2.935532,0.000709,0.010797,0.286109,0.405268,0,1,important
3.444386,0.000778,0.007067,0.298479,0.401017,0,1,important
2.530837,0.001655,0.005528,0.373104,0.371585,0,1,important
2.854736,0.001526,0.003877,0.366993,0.341415,0,1,important
1.895889,0.000235,0.003542,0.178302,0.271013,0,1,important
-1.260341,0.000011,0.000227,0,0,0,1,unimportant
-0.936111,0.000376,0.000441,0.22362,0,0,1,unimportant
2.219794,0.000076,0.002669,0.065625,0.219967,0,1,unimportant
-1.490983,0.000076,0.000381,0.065829,0,0,1,unimportant
-1.374961,0.000178,0.001016,0.150214,0.093056,0,1,unimportant
-0.072007,0.001332,0.000158,0.351578,0,0,0,unimportant
2.258635,0.000259,0.011022,0.18995,0.460772,0,1,unimportant
1.168828,0.00049,0.000653,0.257072,0.119154,0,1,unimportant
0.134456,0.00049,0.000692,0.251395,0.062271,0,1,unimportant
0.886059,0.000028,0.001185,0,0.087462,0,0,unimportant
0.269101,0.000286,0.000909,0.195811,0.05202,0,0,unimportant
1.620657,0.000502,0.004302,0.255246,0.332045,0,1,unimportant
-0.938228,0.000109,0.000513,0.102553,0.006406,0,1,unimportant
3.230924,0.000599,0.00426,0.273439,0.341721,0,1,unimportant
0.166896,0.003262,0.000911,0.381217,0.088589,1,1,important
0.264828,0.000145,0.001014,0.046193,0.120509,1,1,important
-0.862644,0.000084,0.000387,0,0,0,1,important
0.701077,0.000866,0.000696,0.239409,0.064419,0,1,important
0.209932,0.000423,0.000461,0.177456,0.078581,1,1,important
0.1153,0.000079,0.00077,0,0.053836,0,1,important
1.061296,0.000818,0.002245,0.229621,0.199258,0,1,important
1.589936,0.000409,0.000905,0.172945,0.164108,0,1,important
0.192283,0.00035,0.001044,0.139163,0.108598,0,1,important
-0.368928,0.000032,0.000386,0,0,0,1,unimportant
-0.197286,0.000734,0.000431,0.216105,0,0,0,unimportant
2.313068,0.000548,0.003431,0.188963,0.273522,0,1,unimportant
0.415162,0.000262,0.00082,0.107787,0.076223,0,1,unimportant
0.386951,0.000319,0.000587,0.141005,0.090255,0,1,unimportant
0.014106,0.000205,0.00034,0.081614,0,0,1,unimportant
-0.44717,0.000469,0.000358,0.174355,0,0,1,unimportant
1.963905,0.000479,0.000738,0.194248,0.148338,0,1,unimportant
0.31958,0.000288,0.000367,0.128391,0.02053,0,1,unimportant
1.161625,0.001196,0.000446,0.288957,0.069792,0,1,unimportant
-1.115016,0.000129,0.000308,0.032859,0,0,1,unimportant
0.407323,0.001853,0.000406,0.325041,0.008787,0,1,unimportant
-1.362971,0.000069,0.000191,0,0,0,1,unimportant
-0.515016,0.000083,0.000438,0,0,0,1,unimportant
-0.684101,0.000151,0.000233,0.051315,0,0,1,unimportant
-0.229004,0.000182,0.000134,0.073192,0,0,1,unimportant
-0.34773,0.000244,0.000165,0.108063,0,0,1,unimportant
0.105305,0.000038,0.000574,0,0.008343,0,1,unimportant
1.384125,0.000385,0.000656,0.165098,0.118225,0,1,unimportant
0.418585,0.00336,0.001412,0.397512,0.211211,0,1,unimportant
-0.052337,0.000317,0.000411,0.127963,0,0,1,unimportant
1.311655,0.000998,0.001432,0.25862,0.180721,0,1,unimportant
0.182003,0.000314,0.000387,0.139055,0.033647,0,1,unimportant
-0.651379,0.000174,0.000852,0.060619,0.064053,0,1,unimportant
0.640046,0.001185,0.00113,0.27926,0.158423,0,1,unimportant
-1.336758,0.000162,0.000349,0.055112,0,0,1,unimportant
0.060484,0.000057,0.000408,0,0,0,1,unimportant
-0.852592,0.001945,0.000154,0.324017,0,0,1,unimportant
4.818677,0.000326,0.016929,0.143813,0.539208,0,1,unimportant
-1.09048,0.000139,0.000127,0.03678,0,0,1,unimportant
-2.236128,0.000096,0.00034,0,0,0,1,unimportant
1.329888,0.000562,0.000723,0.200591,0.109341,0,1,unimportant
-0.382537,0.000155,0.000475,0.054096,0.021812,0,1,unimportant
3.041215,0.001098,0.001581,0.288592,0.253228,0,1,unimportant
3.310795,0.0008,0.002484,0.270772,0.333027,0,1,unimportant
0.369459,0.000233,0.000896,0.092924,0.076097,0,0,unimportant
-0.855464,0.000099,0.000401,0,0,0,1,unimportant
-1.991362,0.000052,0.000308,0,0,0,1,unimportant
