@relation 'aggregative attrs'

@attribute count_aw numeric
@attribute count_mw numeric
@attribute 'normalized count_aw' numeric
@attribute 'normalized count_mw' numeric
@attribute PMI_aw numeric
@attribute PMI_mw numeric
@attribute entropy_aw numeric
@attribute entropy_mw numeric
@attribute 'jaccard similarity_aw' numeric
@attribute 'jaccard similarity_mw' numeric
@attribute 'NMS similarity_aw' numeric
@attribute 'NMS similarity_mw' numeric
@attribute 'ontology mentioned_aw' numeric
@attribute 'ontology mentioned_mw' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication_aw' numeric
@attribute 'time to indication_mw' numeric
@attribute label {important,unimportant}

@data
15.5,3,0.207143,0.2,2.665611,1.034656,0.094375,0,0.002454,0.000656,0.297081,0.208145,0,0,15472,1558,1,3.5,1,unimportant
20,6,0.246082,0.231293,1.741281,-0.13917,0.21365,0.109043,0.002885,0.000148,0.218473,0.175669,0,0,60765,2752,1,1,1,unimportant
5.5,5,0.296783,0.277778,4.631323,1.974732,0.112641,0,0.003915,0.001732,0.413513,0.252454,0,0,1295,258,1,3,1,unimportant
19.5,1,0.232867,0.2,2.738483,1.809524,0.096918,0,0.002664,0.00039,0.304394,0.265983,0,0,9675,1212,1,1,1,unimportant
12,1,0.215551,0.181102,1.225985,0.04598,0.097151,0,0.001557,0.000049,0.134554,0.099897,0,0,34158,2525,1,1.5,1,unimportant
10.5,2,0.443798,0.22093,3.703486,2.08138,0.173287,0,0.001318,0.000602,0.304712,0.229324,0,0,3686,650,1,3.5,1,unimportant
30,1,0.116093,0.076923,3.715958,3.006975,0.066196,0,0.004831,0.000295,0.350691,0.319518,0,0,4536,956,1,1,1,unimportant
53,2,0.178735,0.133333,2.433546,1.661416,0.066178,0,0.004234,0.000116,0.259417,0.240938,0,0,30706,2123,1,1,1,unimportant
1.5,1,0.305555,0.111111,1.661087,-1.433238,0.173287,0,0.000244,0.000204,0.158123,0,0,0,6519,902,1,2.5,2,unimportant
9.5,6,0.3113,0.19403,3.763365,1.402208,0,0,0.002435,0.001626,0.345129,0.22783,0,0,4974,885,1,1,1,unimportant
5.5,2,0.388095,0.133333,2.678686,2.512936,0.350097,0.346574,0.001828,0.001799,0.380259,0.330463,0,0,11441,1566,1,3.5,1,important
5.5,3,0.246032,0.111111,3.376761,3.280887,0.298084,0.27791,0.002965,0.002737,0.430207,0.392024,0,0,6573,1030,1,3,1,important
19.5,2,0.280164,0.226994,8.28784,6.242667,0.294548,0.242523,0.171911,0.006865,0.750299,0.567927,0,0,85,30,1,3.5,1,important
4.5,4,0.5,0.444444,4.992099,4.517383,0.298388,0.250201,0.005504,0.00443,0.508809,0.500447,0,0,1193,164,1,5,4,important
4.5,2,0.166666,0.111111,3.684878,2.472208,0.344014,0.341454,0.006426,0.001617,0.462371,0.32817,0,0,3689,601,1,2,1,important
1,1,0.416666,0.333333,3.741127,3.154839,0,0,0.002118,0.001056,0.405244,0.319983,1,1,932,223,1,2,1,important
6.5,1,0.402941,0.1,5.542391,4.886226,0.154585,0,0.501116,0.002232,0.731515,0.463029,0,0,533,256,1,1,1,unimportant
1,1,0.666667,0.333333,-0.670162,-1.25645,0,0,0.000018,0.000018,0.007919,0,0.5,0,76774,5200,1,1,1,unimportant
1,1,0.375,0.25,-0.385004,-0.971292,0,0,0.000054,0.000054,0.057184,0,0,0,57726,3435,1,4.5,3,unimportant
7.5,3,0.265385,0.230769,0.925701,0.818841,0.332958,0.299712,0.000175,0.00008,0.133533,0.118834,0,0,93388,5886,0,1,1,unimportant
1,1,0.375,0.25,3.365428,2.77914,0,0,0.001078,0.000835,0.342407,0.319698,0,0,1357,672,1,4,3,unimportant
1,1,0.3,0.1,3.34212,2.755832,0,0,0.00403,0.000916,0.438467,0.373983,0,0,1389,322,1,12.5,1,unimportant
3.5,1,0.216666,0.1,6.368393,4.886226,0,0,0.501116,0.002232,0.731515,0.463029,0,0,165,41,1,1,1,unimportant
1,1,0.175,0.1,5.91502,5.328732,0,0,0.010989,0.006711,0.622301,0.561613,0,0,106,49,1,4,1,unimportant
2,1,0.59375,0.1875,0.747857,-0.387737,0.159129,0,0.000192,0.000129,0.152809,0.113754,0,0,32206,4086,1,4.5,1,unimportant
2.5,1,0.306818,0.25,1.728802,1.621943,0,0,0.000473,0.000464,0.246176,0.181186,0,0,13944,1791,1,1,1,unimportant
1.5,1,0.583333,0.166667,1.274504,0.341642,0,0,0.000423,0.000184,0.210135,0.080614,0,0,15530,2321,1,18,2,unimportant
14,8,0.517647,0.235294,3.905164,2.80771,0.182736,0.177087,0.005907,0.002578,0.463989,0.461817,1,1,4612,810,1,1,1,important
5,3,0.644231,0.538462,1.905735,0.773785,0.261657,0.205058,0.002026,0.000692,0.324353,0.307365,0,0,12339,1567,1,1,1,important
1.5,1,0.458334,0.25,4.678297,3.469272,0,0,0.002871,0.000615,0.42962,0.298322,0,0,238,72,1,5,1,important
15.5,1,0.522728,0.5,4.134992,3.989992,0.061233,0,0.008072,0.00096,0.467369,0.376263,0,0,1587,417,1,4,1,important
2.5,2,0.4375,0.375,3.136673,1.783807,0,0,0.002331,0.00145,0.389748,0.367408,0,0,1926,464,1,8,1,important
12.5,10,0.355572,0.227273,5.590299,3.831967,0.206371,0.162541,0.014403,0.00892,0.57766,0.503052,0,0,828,236,1,1.5,1,important
2,1,0.380952,0.333333,2.85887,1.852577,0.183102,0,0.000893,0.000721,0.289919,0.231059,0,0,1798,549,1,13.5,5,unimportant
1.5,1,0.3125,0.125,4.52655,3.317525,0,0,0.003204,0.001821,0.469942,0.394053,1,1,277,101,1,12,1,unimportant
10.5,1,0.300438,0.25,0.206285,0.148552,0,0,0.00038,0.000022,0.063338,0.029509,0,0,65879,5218,0,4,1,unimportant
11.5,1,0.363095,0.333333,6.151018,6.14094,0,0,0.014009,0.011561,0.628843,0.617557,0,0,181,95,1,6.5,1,unimportant
47.5,1,0.674074,0.348148,0.956232,0.240184,0.059727,0,0.001367,0.00002,0.139266,0.018205,0,0,67468,5766,0,14.5,1,unimportant
4.5,1,0.273148,0.25,3.84338,3.327502,0.094192,0,0.00356,0.001255,0.427586,0.402525,0,0,1097,330,1,7.5,2,unimportant
1.5,1,1,1,0.513131,-0.695894,0,0,0.000159,0.000087,0.076328,0,0,0,15328,1646,1,7.5,1,unimportant
1,1,0.291666,0.25,1.769039,0.21344,0,0,0.000432,0.000309,0.193001,0.062124,0,0,3087,492,1,5,1,unimportant
13,1,0.291405,0.111111,2.370799,1.529722,0.168253,0,0.007138,0.004264,0.492746,0.471947,0,0,625,297,1,1,1,important
